window,kind,seed,sel,thr,acc,bal,prec,rec,f1
7,bilstm,1,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,bilstm,2,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,bilstm,2,bal,0.8000000000000003,0.4,0.47435897435897434,0.5,0.10256410256410256,0.1702127659574468
7,bilstm,2,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,bilstm,3,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,bilstm,3,bal,0.7250000000000003,0.38461538461538464,0.4294871794871795,0.47058823529411764,0.20512820512820512,0.2857142857142857
7,bilstm,3,f1,0.05,0.6,0.5,0.6,1.0,0.75
14,cnn,1,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,cnn,1,bal,0.5750000000000002,0.390625,0.47469635627530365,0.3333333333333333,0.02631578947368421,0.04878048780487805
14,cnn,1,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,cnn,2,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,cnn,2,bal,0.8500000000000003,0.40625,0.5,0.0,0.0,0.0
14,cnn,2,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,cnn,3,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,cnn,3,bal,0.6750000000000003,0.5,0.5546558704453441,0.7142857142857143,0.2631578947368421,0.38461538461538464
14,cnn,3,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,1,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,1,bal,0.5750000000000002,0.390625,0.4382591093117409,0.4666666666666667,0.18421052631578946,0.2641509433962264
14,gru,1,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,2,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,2,bal,0.6500000000000002,0.734375,0.7459514170040487,0.8387096774193549,0.6842105263157895,0.7536231884057971
14,gru,2,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,3,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,3,bal,0.8750000000000003,0.453125,0.521255060728745,0.6666666666666666,0.15789473684210525,0.2553191489361702
14,gru,3,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,lstm,1,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
